KEY_TYPHOON,INTERFACE_ID,INTERFACE_SEQ,NAME_ENG,LATEST_YN,LOCAL_DT_TTHH,ROUT_SEQ,LOCAL_DT,LTITDE,LNGTD,DIRECTION,VELOCITY,PRESS,MAX_WINDSPEED,GUST,RADIUS34_1,RADIUS34_2,RADIUS34_3,RADIUS34_4,RADIUS50_1,RADIUS50_2,RADIUS50_3,RADIUS50_4,TYHPOON_ICON,GUBUN_VT,TYPN_SEQ,PLAY_YN
2379,2016082411062951819676VM,1,GASTON,,08/23 21,0,20160823210000,14.2,-35.8,290,16,1002,55,65,0,0,0,0,0,0,0,0,t03,TYPHOON,1,N
1550,2016082413062951890226VM,1,GASTON,,08/24 03,0,20160824030000,14.7,-37.1,290,15,1002,55,65,0,0,0,0,0,0,0,0,t03,TYPHOON,2,N
2403,2016082513064752319621VM,1,GASTON,,08/25 03,0,20160825030000,18.6,-42.1,310,15,990,60,75,0,0,0,0,0,0,0,0,t03,TYPHOON,3,N
2438,2016082613071052699965VM,2,GASTON,,08/26 03,0,20160826030000,22.8,-46.4,320,15,997,55,65,0,0,0,0,0,0,0,0,t03,TYPHOON,4,N
1335,2016082713072153171050VM,3,GASTON,,08/27 03,0,20160827030000,27,-50.8,315,13,997,55,65,0,0,0,0,0,0,0,0,t03,TYPHOON,5,N
2986,2016082813073553369025VM,3,GASTON,,08/28 03,0,20160828030000,29.6,-54.2,320,7,980,75,90,0,0,0,0,0,0,0,0,t04,TYPHOON,6,N
2974,2016082913074853626160VM,3,GASTON,,08/29 03,0,20160829030000,30.6,-55.2,360,0,957,105,130,0,0,0,0,0,0,0,0,t05,TYPHOON,7,N
3067,2016083010075954055125VM,2,GASTON,Y,08/29 21,0,20160829210000,31.2,-55.2,30,3,968,90,110,120,120,80,80,60,60,40,40,tyhpoon_icon,TYPHOON,8,N
3067,2016083010075954055125VM,2,GASTON,Y,08/30 06,1,20160830060000,31.6,-54.5,,,,90,110,130,130,80,90,70,60,40,50,t04,TYPHOON,9,N
3067,2016083010075954055125VM,2,GASTON,Y,08/30 18,2,20160830180000,32.2,-52.8,,,,85,105,130,130,80,90,70,60,40,50,t04,TYPHOON,10,N
3067,2016083010075954055125VM,2,GASTON,Y,08/31 06,3,20160831060000,33.2,-50.7,,,,85,105,130,140,90,90,70,70,50,50,t04,TYPHOON,11,N
3067,2016083010075954055125VM,2,GASTON,Y,08/31 18,4,20160831180000,34.6,-48,,,,85,105,140,180,100,100,70,70,50,50,t04,TYPHOON,12,N
3067,2016083010075954055125VM,2,GASTON,Y,09/01 18,5,20160901180000,37.7,-39.6,,,,75,90,140,180,100,100,70,70,50,50,t04,TYPHOON,13,N
3067,2016083010075954055125VM,2,GASTON,Y,09/02 18,6,20160902180000,38.5,-32,,,,55,65,0,0,0,0,0,0,0,0,t03,TYPHOON,14,N
3067,2016083010075954055125VM,2,GASTON,Y,09/03 18,7,20160903180000,40,-28,,,,40,50,0,0,0,0,0,0,0,0,t02,TYPHOON,15,N
1560,2016082519065752447844VM,1,LESTER,,08/25 09,0,20160825090000,16.2,-111.6,295,10,1005,35,45,0,0,0,0,0,0,0,0,t02,TYPHOON,16,N
2437,2016082613071052699965VM,1,LESTER,,08/26 03,0,20160826030000,17,-113.8,270,5,1000,50,60,0,0,0,0,0,0,0,0,t03,TYPHOON,17,N
1334,2016082713072153171050VM,2,LESTER,,08/27 03,0,20160827030000,17.9,-116.5,280,8,987,65,80,0,0,0,0,0,0,0,0,t04,TYPHOON,18,N
2985,2016082813073553369025VM,2,LESTER,,08/28 03,0,20160828030000,18,-120.8,270,11,973,90,110,0,0,0,0,0,0,0,0,t04,TYPHOON,19,N
2973,2016082913074853626160VM,2,LESTER,,08/29 03,0,20160829030000,17.9,-126.4,270,12,979,75,90,0,0,0,0,0,0,0,0,t04,TYPHOON,20,N
